	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
0	PRJNA447983	SRR6915104	19929853	19606863	19929853	19606863	275752	39213726	34465845	87.89	4747881	12.11	693749_7_PRJNA447983_SRR6915104.err
2	PRJNA1237248	SRR32733101	63543388	63519518			0	63519518	56798216	89.42	6721302	10.58	234325_776_PRJNA1237248_SRR32733101.err
3	PRJNA447983	SRR6915202	38260125	37605760	38260125	37605760	97838	75211520	67052033	89.15	8159487	10.85	693749_60_PRJNA447983_SRR6915202.err
4	PRJNA429097	SRR6456233	25150422	23282694	25150422	23282694	40784	46565388	42068321	90.34	4497067	9.66	693416_47_PRJNA429097_SRR6456233.err
6	PRJNA1237248	SRR32733279	35463020	35448640			0	35448640	30132251	85.00	5316389	15.00	234325_624_PRJNA1237248_SRR32733279.err
7	PRJNA447983	SRR6915223	30930699	30140645	30930699	30140645	481172	60281290	51045582	84.68	9235708	15.32	693749_53_PRJNA447983_SRR6915223.err
8	PRJNA429097	SRR6456373	18266217	14607976	18266217	14607976	36728	29215952	25768393	88.20	3447559	11.80	693416_71_PRJNA429097_SRR6456373.err
10	PRJEB72526		7492857	7337978	7492857	7337978	142408	14675956	12917295	88.02	1758661	11.98	234324_56_PRJEB72526_ERR14225594.err
12	PRJNA1237248	SRR32733419	50068509	50045700			0	50045700	44992466	89.90	5053234	10.10	234325_331_PRJNA1237248_SRR32733419.err
13	PRJNA1237248	SRR32733628	66814450	66783461			0	66783461	57991642	86.84	8791819	13.16	234325_526_PRJNA1237248_SRR32733628.err
15	PRJEB72524		5639004	5379931	5639004	5379931	118444	10759862	8287013	77.02	2472849	22.98	694103_95_PRJEB72524_ERR14205000.err
16	PRJNA1237248	SRR32733257	60395079	60367597			0	60367597	53869748	89.24	6497849	10.76	234325_500_PRJNA1237248_SRR32733257.err
18	PRJNA1167935	SRR30861077	44801578	42431638	44801578	42431638	16672	84863276	75554898	89.03	9308378	10.97	234217_6_PRJNA1167935_SRR30861077.err
19	PRJEB72523		13426175	12714463	13426175	12714463	8860	25428926	22312931	87.75	3115995	12.25	234221_104_PRJEB72523_ERR14134542.err
20	PRJNA1237248	SRR32732975	46334999	46317824			0	46317824	41976982	90.63	4340842	9.37	234325_2_PRJNA1237248_SRR32732975.err
21	PRJNA429097	SRR6456235	19573310	18406631	19573310	18406631	58264	36813262	32588587	88.52	4224675	11.48	693416_14_PRJNA429097_SRR6456235.err
24	PRJEB59350		16298127	12988097	16298127	12988097	57856	25976194	22909664	88.19	3066530	11.81	234322_14_PRJEB59350_ERR10818476.err
25	PRJNA731589	SRR14610626	33045330	32637102	33045330	32637102	452278	65274204	58863853	90.18	6410351	9.82	693420_34_PRJNA731589_SRR14610626.err
26	PRJNA763023	SRR16124170	35676030	35155544	35676030	35155544	2141682	70311088	64295412	91.44	6015676	8.56	693415_43_PRJNA763023_SRR16124170.err
27	PRJEB59350		24643673	20603812	24643673	20603812	33276	41207624	36564038	88.73	4643586	11.27	234322_68_PRJEB59350_ERR10818516.err
28	PRJNA429097	SRR6456207	19851552	18504680	19851552	18504680	68134	37009360	31771652	85.85	5237708	14.15	693416_172_PRJNA429097_SRR6456207.err
29	PRJEB72524		10677662	10147930	10677662	10147930	466080	20295860	18324131	90.29	1971729	9.71	694103_130_PRJEB72524_ERR14205134.err
30	PRJNA1237248	SRR32733312	34311601	34296785			0	34296785	30334035	88.45	3962750	11.55	234325_743_PRJNA1237248_SRR32733312.err
32	PRJNA1237248	SRR32733606	56865518	56842833			0	56842833	50031421	88.02	6811412	11.98	234325_289_PRJNA1237248_SRR32733606.err
33	PRJNA763023	SRR16124319	33270389	32771106	33270389	32771106	2980034	65542212	58409955	89.12	7132257	10.88	693415_93_PRJNA763023_SRR16124319.err
34	PRJNA731589	SRR14610691	30237010	29877898	30237010	29877898	302089	59755796	52624080	88.07	7131716	11.93	693420_42_PRJNA731589_SRR14610691.err
35	PRJEB72525		7682611	4718163	7682611	4718163	284354	9436326	8190351	86.80	1245975	13.20	232906_18_PRJEB72525_ERR14205274.err
36	PRJNA1237248	SRR32733114	56223889	56202145			0	56202145	50307981	89.51	5894164	10.49	234325_76_PRJNA1237248_SRR32733114.err
37	PRJNA531273	SRR8865592	1641991	1456757	1641991	1456757	47840	2913514	2484512	85.28	429002	14.72	693418_25_PRJNA531273_SRR8865592.err
38	PRJEB72524		13939277	13197070	13939277	13197070	578746	26394140	23053745	87.34	3340395	12.66	694103_139_PRJEB72524_ERR14205110.err
39	PRJNA1237248	SRR32732961	54433861	54410107			0	54410107	49342912	90.69	5067195	9.31	234325_675_PRJNA1237248_SRR32732961.err
41	PRJNA1237248	SRR32733528	45733987	45712652			0	45712652	41918088	91.70	3794564	8.30	234325_164_PRJNA1237248_SRR32733528.err
42	PRJEB72523		7724706	7352911	7724706	7352911	4550	14705822	13168761	89.55	1537061	10.45	234221_11_PRJEB72523_ERR14129571.err
43	PRJNA1237248	SRR32733554	41965464	41947716			0	41947716	36548620	87.13	5399096	12.87	234325_602_PRJNA1237248_SRR32733554.err
44	PRJNA1237248	SRR32733097	44806783	44789073			0	44789073	39408005	87.99	5381068	12.01	234325_594_PRJNA1237248_SRR32733097.err
45	PRJNA531273	SRR8865590	3218088	3054178	3218088	3054178	20904	6108356	5153879	84.37	954477	15.63	693418_17_PRJNA531273_SRR8865590.err
46	PRJNA763023	SRR16124305	33755446	32969870	33755446	32969870	2550672	65939740	59832515	90.74	6107225	9.26	693415_194_PRJNA763023_SRR16124305.err
47	PRJNA1237248	SRR32733615	44450977	44437962			0	44437962	40519117	91.18	3918845	8.82	234325_780_PRJNA1237248_SRR32733615.err
48	PRJEB72525		16321998	9702228	16321998	9702228	559310	19404456	17516069	90.27	1888387	9.73	232906_55_PRJEB72525_ERR14205975.err
49	PRJEB72525		11026449	6417878	11026449	6417878	453288	12835756	10494739	81.76	2341017	18.24	232906_60_PRJEB72525_ERR14206998.err
50	PRJEB72523		7332593	6986566	7332593	6986566	4010	13973132	12207439	87.36	1765693	12.64	234221_157_PRJEB72523_ERR14129569.err
51	PRJNA731589	SRR14610715	35805786	35268112	35805786	35268112	210690	70536224	64127436	90.91	6408788	9.09	693420_25_PRJNA731589_SRR14610715.err
52	PRJNA1237248	SRR32733019	36162146	36143532			0	36143532	32275707	89.30	3867825	10.70	234325_632_PRJNA1237248_SRR32733019.err
53	PRJNA447983	SRR6915211	31587222	30854365	31587222	30854365	296224	61708730	51015235	82.67	10693495	17.33	693749_94_PRJNA447983_SRR6915211.err
55	PRJEB72526		1759401	1666453	1759401	1666453	8818	3332906	3021009	90.64	311897	9.36	234324_29_PRJEB72526_ERR14218632.err
56	PRJEB72525		17372989	16668633	17372989	16668633	5290	33337266	30260843	90.77	3076423	9.23	232906_104_PRJEB72525_ERR14205418.err
57	PRJNA429097	SRR6456230	16981500	15900975	16981500	15900975	139022	31801950	25447060	80.02	6354890	19.98	693416_1_PRJNA429097_SRR6456230.err
59	PRJNA1237248	SRR32733197	45162499	45143923			0	45143923	41484480	91.89	3659443	8.11	234325_429_PRJNA1237248_SRR32733197.err
60	PRJNA1237248	SRR32733671	46428355	46409860			0	46409860	40790314	87.89	5619546	12.11	234325_15_PRJNA1237248_SRR32733671.err
61	PRJEB72524		27119810	25788850	27119810	25788850	1214784	51577700	44303176	85.90	7274524	14.10	694103_109_PRJEB72524_ERR14651432.err
62	PRJNA1237248	SRR32733646	40043911	40024788			0	40024788	35735216	89.28	4289572	10.72	234325_674_PRJNA1237248_SRR32733646.err
63	PRJNA1237248	SRR32732956	25215961	25207193			0	25207193	22113387	87.73	3093806	12.27	234325_262_PRJNA1237248_SRR32732956.err
64	PRJNA1167935	SRR30861102	23902831	22322187	23902831	22322187	413746	44644374	2142751	4.80	42501623	95.20	234217_5_PRJNA1167935_SRR30861102.err
65	PRJNA1237248	SRR32733262	42499103	42481239			0	42481239	38584939	90.83	3896300	9.17	234325_613_PRJNA1237248_SRR32733262.err
67	PRJEB72525		15168679	8842582	15168679	8842582	553962	17685164	15637112	88.42	2048052	11.58	232906_97_PRJEB72525_ERR14206983.err
68	PRJNA1237248	SRR32732858	46076308	46058774			0	46058774	41219856	89.49	4838918	10.51	234325_255_PRJNA1237248_SRR32732858.err
69	PRJNA1237248	SRR32732909	58975435	58954164			0	58954164	44088803	74.78	14865361	25.22	234325_530_PRJNA1237248_SRR32732909.err
72	PRJNA731589	SRR14610658	42440155	41809982	42440155	41809982	106450	83619964	76430658	91.40	7189306	8.60	693420_95_PRJNA731589_SRR14610658.err
73	PRJNA429097	SRR6456151	18761799	17398121	18761799	17398121	6652	34796242	31837981	91.50	2958261	8.50	693416_130_PRJNA429097_SRR6456151.err
74	PRJNA763023	SRR16124206	29950973	29384674	29950973	29384674	2473596	58769348	53618327	91.24	5151021	8.76	693415_5_PRJNA763023_SRR16124206.err
75	PRJNA1237248	SRR32732837	42689719	42672254			0	42672254	37649633	88.23	5022621	11.77	234325_595_PRJNA1237248_SRR32732837.err
77	PRJNA1237248	SRR32733372	57454849	57430267			0	57430267	51277275	89.29	6152992	10.71	234325_228_PRJNA1237248_SRR32733372.err
79	PRJNA1237248	SRR32733230	27064018	27053738			0	27053738	24520629	90.64	2533109	9.36	234325_258_PRJNA1237248_SRR32733230.err
80	PRJEB72524		56331389	53168018	56331389	53168018	2471070	106336036	94765450	89.12	11570586	10.88	694103_90_PRJEB72524_ERR14205092.err
81	PRJNA731589	SRR14610650	38286586	37694062	38286586	37694062	137324	75388124	69551701	92.26	5836423	7.74	693420_133_PRJNA731589_SRR14610650.err
82	PRJNA1237248	SRR32733183	36854139	36843998			0	36843998	33901903	92.01	2942095	7.99	234325_665_PRJNA1237248_SRR32733183.err
84	PRJNA731589	SRR14610688	38182301	37707442	38182301	37707442	472857	75414884	68563969	90.92	6850915	9.08	693420_52_PRJNA731589_SRR14610688.err
86	PRJNA763023	SRR16124334	39156390	38513016	39156390	38513016	2200078	77026032	64203763	83.35	12822269	16.65	693415_181_PRJNA763023_SRR16124334.err
87	PRJNA1237248	SRR32733451	43230998	43213695			0	43213695	38247577	88.51	4966118	11.49	234325_835_PRJNA1237248_SRR32733451.err
88	PRJNA1237248	SRR32732947	44239009	44219302			0	44219302	38839119	87.83	5380183	12.17	234325_80_PRJNA1237248_SRR32732947.err
89	PRJNA1237248	SRR32732844	82939124	82904548			0	82904548	71909263	86.74	10995285	13.26	234325_277_PRJNA1237248_SRR32732844.err
91	PRJNA447983	SRR6915226	20687445	20170767	20687445	20170767	314476	40341534	35681450	88.45	4660084	11.55	693749_82_PRJNA447983_SRR6915226.err
92	PRJNA1237248	SRR32732884	35304087	35290448			0	35290448	31662296	89.72	3628152	10.28	234325_739_PRJNA1237248_SRR32732884.err
93	PRJNA1237248	SRR32733486	63705739	63677550			0	63677550	52918341	83.10	10759209	16.90	234325_329_PRJNA1237248_SRR32733486.err
94	PRJNA1237248	SRR32733057	44091797	44071923			0	44071923	38512535	87.39	5559388	12.61	234325_697_PRJNA1237248_SRR32733057.err
95	PRJNA1237248	SRR32733002	32942398	32930447			0	32930447	30135191	91.51	2795256	8.49	234325_793_PRJNA1237248_SRR32733002.err
96	PRJEB59350		28212262	23483549	28212262	23483549	43856	46967098	39000119	83.04	7966979	16.96	234322_20_PRJEB59350_ERR10837995.err
97	PRJNA1237248	SRR32732808	41065117	41048973			0	41048973	35978372	87.65	5070601	12.35	234325_34_PRJNA1237248_SRR32732808.err
98	PRJNA731589	SRR14610667	31855531	31241467	31855531	31241467	87558	62482934	55292743	88.49	7190191	11.51	693420_115_PRJNA731589_SRR14610667.err
99	PRJNA763023	SRR16124243	34205713	33775400	34205713	33775400	3089984	67550800	62223315	92.11	5327485	7.89	693415_129_PRJNA763023_SRR16124243.err
100	PRJEB59350		19834666	16388540	19834666	16388540	39748	32777080	28974052	88.40	3803028	11.60	234322_30_PRJEB59350_ERR10821073.err
102	PRJNA1237248	SRR32733238	37308560	37295030			0	37295030	33426070	89.63	3868960	10.37	234325_115_PRJNA1237248_SRR32733238.err
103	PRJNA429097	SRR6456145	21035581	19528671	21035581	19528671	21470	39057342	32798384	83.97	6258958	16.03	693416_21_PRJNA429097_SRR6456145.err
104	PRJNA1237248	SRR32733150	42979011	42962236			0	42962236	38669528	90.01	4292708	9.99	234325_184_PRJNA1237248_SRR32733150.err
106	PRJNA1237248	SRR32733497	20616606	20590434			0	20590434	18253767	88.65	2336667	11.35	234325_563_PRJNA1237248_SRR32733497.err
108	PRJNA1237248	SRR32733445	42855058	42840794			0	42840794	37920342	88.51	4920452	11.49	234325_609_PRJNA1237248_SRR32733445.err
109	PRJNA1237248	SRR32732855	44734318	44715673			0	44715673	39541672	88.43	5174001	11.57	234325_286_PRJNA1237248_SRR32732855.err
110	PRJEB59350		23607283	19329552	23607283	19329552	44656	38659104	34310449	88.75	4348655	11.25	234322_70_PRJEB59350_ERR10832959.err
111	PRJNA1237248	SRR32733350	43265434	43245092			0	43245092	37690292	87.16	5554800	12.84	234325_497_PRJNA1237248_SRR32733350.err
112	PRJNA429097	SRR6456374	14356699	12796843	14356699	12796843	76162	25593686	22311076	87.17	3282610	12.83	693416_157_PRJNA429097_SRR6456374.err
114	PRJNA447983	SRR6915152	19867836	19525947	19867836	19525947	285104	39051894	34330513	87.91	4721381	12.09	693749_83_PRJNA447983_SRR6915152.err
115	PRJEB72524		17622768	16761840	17622768	16761840	792210	33523680	29810368	88.92	3713312	11.08	694103_152_PRJEB72524_ERR14204965.err
116	PRJNA1237248	SRR32733292	36872789	36860990			0	36860990	32319788	87.68	4541202	12.32	234325_827_PRJNA1237248_SRR32733292.err
117	PRJNA1237248	SRR32733530	58157157	58133433			0	58133433	52702020	90.66	5431413	9.34	234325_14_PRJNA1237248_SRR32733530.err
118	PRJEB72524		23429064	22220366	23429064	22220366	1020202	44440732	38891807	87.51	5548925	12.49	694103_88_PRJEB72524_ERR14204962.err
119	PRJNA1237248	SRR32733165	48309584	48288089			0	48288089	44217702	91.57	4070387	8.43	234325_819_PRJNA1237248_SRR32733165.err
120	PRJNA1237248	SRR32733229	45644173	45624804			0	45624804	41077889	90.03	4546915	9.97	234325_311_PRJNA1237248_SRR32733229.err
121	PRJNA1237248	SRR32733480	34230806	34216455			0	34216455	30823731	90.08	3392724	9.92	234325_524_PRJNA1237248_SRR32733480.err
122	PRJNA1237248	SRR32733565	50315680	50295145			0	50295145	43123179	85.74	7171966	14.26	234325_813_PRJNA1237248_SRR32733565.err
123	PRJNA763023	SRR16124259	42181123	41079098	42181123	41079098	2272066	82158196	72697496	88.48	9460700	11.52	693415_153_PRJNA763023_SRR16124259.err
124	PRJNA429097	SRR6456249	19920194	18712951	19920194	18712951	91802	37425902	33133595	88.53	4292307	11.47	693416_165_PRJNA429097_SRR6456249.err
125	PRJEB72524		11120167	10580611	11120167	10580611	482076	21161222	18507655	87.46	2653567	12.54	694103_129_PRJEB72524_ERR14204640.err
126	PRJNA1237248	SRR32733010	47874652	47861253			0	47861253	43162345	90.18	4698908	9.82	234325_295_PRJNA1237248_SRR32733010.err
127	PRJEB59350		19494959	14770671	19494959	14770671	79422	29541342	26225045	88.77	3316297	11.23	234322_84_PRJEB59350_ERR10837998.err
128	PRJEB72524		7483821	7106062	7483821	7106062	327378	14212124	12149733	85.49	2062391	14.51	694103_80_PRJEB72524_ERR14205041.err
129	PRJNA447983	SRR6915205	13642657	13326654	13642657	13326654	40106	26653308	23017343	86.36	3635965	13.64	693749_12_PRJNA447983_SRR6915205.err
131	PRJNA1237248	SRR32733033	83970409	83942937			0	83942937	74906587	89.24	9036350	10.76	234325_570_PRJNA1237248_SRR32733033.err
132	PRJNA429097	SRR6451689	15149081	14040927	15149081	14040927	12378	28081854	24999046	89.02	3082808	10.98	693416_156_PRJNA429097_SRR6451689.err
133	PRJEB72525		10495107	10065533	10495107	10065533	3822	20131066	18204420	90.43	1926646	9.57	232906_62_PRJEB72525_ERR14205974.err
134	PRJNA1237248	SRR32733684	52318831	52296612			0	52296612	46072403	88.10	6224209	11.90	234325_147_PRJNA1237248_SRR32733684.err
135	PRJNA1237248	SRR32732897	40547247	40529102			0	40529102	36350780	89.69	4178322	10.31	234325_611_PRJNA1237248_SRR32732897.err
136	PRJNA1237248	SRR32733333	48370219	48351013			0	48351013	44484580	92.00	3866433	8.00	234325_464_PRJNA1237248_SRR32733333.err
137	PRJNA429097	SRR6456198	18844860	16968593	18844860	16968593	26548	33937186	29696628	87.50	4240558	12.50	693416_121_PRJNA429097_SRR6456198.err
139	PRJNA731589	SRR14610672	24152705	23815327	24152705	23815327	128204	47630654	42718276	89.69	4912378	10.31	693420_98_PRJNA731589_SRR14610672.err
140	PRJNA429097	SRR6456366	19668551	17241888	19668551	17241888	63304	34483776	31232916	90.57	3250860	9.43	693416_111_PRJNA429097_SRR6456366.err
141	PRJNA731589	SRR14610690	46190162	45597874	46190162	45597874	209954	91195748	80926211	88.74	10269537	11.26	693420_138_PRJNA731589_SRR14610690.err
142	PRJNA1237248	SRR32733449	28882088	28873746			0	28873746	26558484	91.98	2315262	8.02	234325_118_PRJNA1237248_SRR32733449.err
144	PRJNA429097	SRR6456236	17164882	16285329	17164882	16285329	53300	32570658	28384986	87.15	4185672	12.85	693416_162_PRJNA429097_SRR6456236.err
145	PRJNA763023	SRR16124191	35968252	35401972	35968252	35401972	2299824	70803944	65360276	92.31	5443668	7.69	693415_91_PRJNA763023_SRR16124191.err
146	PRJEB72524		7175211	6819621	7175211	6819621	309592	13639242	12039107	88.27	1600135	11.73	694103_191_PRJEB72524_ERR14205058.err
147	PRJNA1237248	SRR32733502	57190818	57163323			0	57163323	50463700	88.28	6699623	11.72	234325_759_PRJNA1237248_SRR32733502.err
148	PRJEB72524		21930906	20876884	21930906	20876884	952422	41753768	37767159	90.45	3986609	9.55	694103_39_PRJEB72524_ERR14205007.err
150	PRJNA1237248	SRR32733318	48819342	48798349			0	48798349	43169342	88.46	5629007	11.54	234325_219_PRJNA1237248_SRR32733318.err
151	PRJNA1237248	SRR32733665	60540705	60522879			0	60522879	54964370	90.82	5558509	9.18	234325_324_PRJNA1237248_SRR32733665.err
152	PRJNA1237248	SRR32732938	62728674	62704273			0	62704273	56205856	89.64	6498417	10.36	234325_829_PRJNA1237248_SRR32732938.err
153	PRJNA1237248	SRR32733672	47555132	47533804			0	47533804	41675739	87.68	5858065	12.32	234325_150_PRJNA1237248_SRR32733672.err
154	PRJEB72524		11694141	11154925	11694141	11154925	518840	22309850	19948706	89.42	2361144	10.58	694103_12_PRJEB72524_ERR14205061.err
155	PRJEB72525		10100488	6031531	10100488	6031531	414754	12063062	10320366	85.55	1742696	14.45	232906_79_PRJEB72525_ERR14205381.err
156	PRJNA447983	SRR6915213	20780326	20397872	20780326	20397872	399100	40795744	35213377	86.32	5582367	13.68	693749_39_PRJNA447983_SRR6915213.err
158	PRJNA429097	SRR6456159	18125446	16688740	18125446	16688740	19560	33377480	28858832	86.46	4518648	13.54	693416_127_PRJNA429097_SRR6456159.err
159	PRJNA763023	SRR16124355	40580446	39214922	40580446	39214922	2785720	78429844	70796152	90.27	7633692	9.73	693415_13_PRJNA763023_SRR16124355.err
161	PRJNA447983	SRR6915183	21061322	20680003	21061322	20680003	380396	41360006	36511610	88.28	4848396	11.72	693749_125_PRJNA447983_SRR6915183.err
162	PRJNA1237248	SRR32733631	35071517	35061928			0	35061928	30731138	87.65	4330790	12.35	234325_148_PRJNA1237248_SRR32733631.err
164	PRJNA1167935	SRR30861123	37614132	35894814	37614132	35894814	23790	71789628	62544727	87.12	9244901	12.88	234217_18_PRJNA1167935_SRR30861123.err
165	PRJNA1237248	SRR32733043	41455122	41439085			0	41439085	34753457	83.87	6685628	16.13	234325_640_PRJNA1237248_SRR32733043.err
166	PRJNA1237248	SRR32733281	48378316	48357254			0	48357254	43774136	90.52	4583118	9.48	234325_317_PRJNA1237248_SRR32733281.err
167	PRJNA429097	SRR6451683	19275729	17449774	19275729	17449774	26320	34899548	29260947	83.84	5638601	16.16	693416_163_PRJNA429097_SRR6451683.err
169	PRJNA1237248	SRR32732810	47665361	47646183			0	47646183	42620123	89.45	5026060	10.55	234325_322_PRJNA1237248_SRR32732810.err
170	PRJNA447983	SRR6915182	29232742	28660473	29232742	28660473	492570	57320946	48729639	85.01	8591307	14.99	693749_54_PRJNA447983_SRR6915182.err
171	PRJNA731589	SRR14610729	35904628	35114171	35904628	35114171	122990	70228342	62801138	89.42	7427204	10.58	693420_120_PRJNA731589_SRR14610729.err
172	PRJNA763023	SRR16124213	47800661	46011603	47800661	46011603	2137604	92023206	83536440	90.78	8486766	9.22	693415_152_PRJNA763023_SRR16124213.err
173	PRJNA1237248	SRR32733300	59930358	59904934			0	59904934	52993169	88.46	6911765	11.54	234325_677_PRJNA1237248_SRR32733300.err
174	PRJEB72524		10788723	10269318	10788723	10269318	465082	20538636	18106658	88.16	2431978	11.84	694103_178_PRJEB72524_ERR14204532.err
175	PRJEB59350		11928375	9848404	11928375	9848404	9392	19696808	18032677	91.55	1664131	8.45	234322_83_PRJEB59350_ERR10823039.err
177	PRJEB72523		9715442	9398389	9715442	9398389	16292	18796778	16707834	88.89	2088944	11.11	234221_49_PRJEB72523_ERR14129582.err
178	PRJNA731589	SRR14610617	48820894	48175034	48820894	48175034	201328	96350068	87837051	91.16	8513017	8.84	693420_12_PRJNA731589_SRR14610617.err
179	PRJEB72525		13570192	8305450	13570192	8305450	477958	16610900	14502956	87.31	2107944	12.69	232906_77_PRJEB72525_ERR14205202.err
180	PRJNA429097	SRR6456190	17482226	16066700	17482226	16066700	137998	32133400	22530695	70.12	9602705	29.88	693416_137_PRJNA429097_SRR6456190.err
181	PRJNA763023	SRR16124260	42025071	41084506	42025071	41084506	2221052	82169012	75214242	91.54	6954770	8.46	693415_51_PRJNA763023_SRR16124260.err
182	PRJNA1237248	SRR32733498	60893363	60866083			0	60866083	54926597	90.24	5939486	9.76	234325_268_PRJNA1237248_SRR32733498.err
183	PRJNA1237248	SRR32733512	41551656	41536109			0	41536109	35003355	84.27	6532754	15.73	234325_671_PRJNA1237248_SRR32733512.err
185	PRJEB72523		5491375	5204437	5491375	5204437	3006	10408874	9319839	89.54	1089035	10.46	234221_78_PRJEB72523_ERR14129558.err
186	PRJNA763023	SRR16124268	41666046	40738287	41666046	40738287	3120766	81476574	73379326	90.06	8097248	9.94	693415_94_PRJNA763023_SRR16124268.err
187	PRJEB59350		25510949	20666895	25510949	20666895	37282	41333790	35902988	86.86	5430802	13.14	234322_50_PRJEB59350_ERR10820979.err
188	PRJEB72525		18286673	17559041	18286673	17559041	7152	35118082	30724939	87.49	4393143	12.51	232906_1_PRJEB72525_ERR14205206.err
191	PRJNA1237248	SRR32732819	56389079	56363991			0	56363991	50520437	89.63	5843554	10.37	234325_460_PRJNA1237248_SRR32732819.err
192	PRJNA1237248	SRR32733415	50599866	50582150			0	50582150	41351632	81.75	9230518	18.25	234325_4_PRJNA1237248_SRR32733415.err
194	PRJNA1237248	SRR32733499	52754506	52732605			0	52732605	47346137	89.79	5386468	10.21	234325_704_PRJNA1237248_SRR32733499.err
195	PRJNA1237248	SRR32733664	60079219	60052723			0	60052723	53875709	89.71	6177014	10.29	234325_735_PRJNA1237248_SRR32733664.err
196	PRJNA731589	SRR14610639	40812868	39863011	40812868	39863011	176726	79726022	72080380	90.41	7645642	9.59	693420_88_PRJNA731589_SRR14610639.err
197	PRJNA429097	SRR6451691	23711621	21686594	23711621	21686594	47260	43373188	35455367	81.74	7917821	18.26	693416_44_PRJNA429097_SRR6451691.err
198	PRJNA731589	SRR14610652	30613015	30170313	30613015	30170313	116062	60340626	55786157	92.45	4554469	7.55	693420_71_PRJNA731589_SRR14610652.err
199	PRJNA1237248	SRR32733025	50387825	50370209			0	50370209	45154922	89.65	5215287	10.35	234325_423_PRJNA1237248_SRR32733025.err
200	PRJEB72523		22471961	21530131	22471961	21530131	19600	43060262	38193359	88.70	4866903	11.30	234221_155_PRJEB72523_ERR14141074.err
201	PRJNA1237248	SRR32733395	42186291	42168452			0	42168452	38062081	90.26	4106371	9.74	234325_190_PRJNA1237248_SRR32733395.err
203	PRJNA1237248	SRR32733125	53077347	53056757			0	53056757	46955089	88.50	6101668	11.50	234325_599_PRJNA1237248_SRR32733125.err
204	PRJEB59350		26769468	22211522	26769468	22211522	27156	44423044	39050415	87.91	5372629	12.09	234322_47_PRJEB59350_ERR10825280.err
206	PRJNA1237248	SRR32733558	58171267	58145249			0	58145249	53286943	91.64	4858306	8.36	234325_151_PRJNA1237248_SRR32733558.err
207	PRJNA1237248	SRR32732932	50194429	50170851			0	50170851	44593382	88.88	5577469	11.12	234325_710_PRJNA1237248_SRR32732932.err
208	PRJNA429097	SRR6456187	18887581	17432614	18887581	17432614	172390	34865228	28095273	80.58	6769955	19.42	693416_170_PRJNA429097_SRR6456187.err
209	PRJEB59350		53393157	45988591	53393157	45988591	34724	91977182	82321919	89.50	9655263	10.50	234322_102_PRJEB59350_ERR10818363.err
210	PRJNA1237248	SRR32733198	44012000	43998719			0	43998719	38393467	87.26	5605252	12.74	234325_27_PRJNA1237248_SRR32733198.err
211	PRJEB72523		26099366	25286368	26099366	25286368	71266	50572736	44060517	87.12	6512219	12.88	234221_33_PRJEB72523_ERR14141080.err
213	PRJEB72525		12481942	7292754	12481942	7292754	439478	14585508	12780423	87.62	1805085	12.38	232906_4_PRJEB72525_ERR14205220.err
214	PRJNA1237248	SRR32733547	66830836	66802369			0	66802369	59543284	89.13	7259085	10.87	234325_119_PRJNA1237248_SRR32733547.err
215	PRJNA429097	SRR6451692	21048103	19570859	21048103	19570859	17162	39141718	32146794	82.13	6994924	17.87	693416_107_PRJNA429097_SRR6451692.err
216	PRJNA1237248	SRR32733095	48450541	48429910			0	48429910	40926058	84.51	7503852	15.49	234325_734_PRJNA1237248_SRR32733095.err
217	PRJNA1237248	SRR32733268	56861311	56835603			0	56835603	51173571	90.04	5662032	9.96	234325_298_PRJNA1237248_SRR32733268.err
218	PRJEB72524		24160885	22625550	24160885	22625550	1132474	45251100	39713634	87.76	5537466	12.24	694103_142_PRJEB72524_ERR14205077.err
219	PRJNA1237248	SRR32732992	40766957	40749820			0	40749820	36115514	88.63	4634306	11.37	234325_186_PRJNA1237248_SRR32732992.err
220	PRJNA1237248	SRR32732888	47675749	47656319			0	47656319	42023294	88.18	5633025	11.82	234325_825_PRJNA1237248_SRR32732888.err
222	PRJEB72524		23810109	22853670	23810109	22853670	1039982	45707340	39064431	85.47	6642909	14.53	694103_183_PRJEB72524_ERR14205014.err
223	PRJNA1237248	SRR32733598	39234517	39218920			0	39218920	34154401	87.09	5064519	12.91	234325_798_PRJNA1237248_SRR32733598.err
225	PRJEB72523		26251233	25361897	26251233	25361897	83200	50723794	44015060	86.77	6708734	13.23	234221_158_PRJEB72523_ERR14141081.err
227	PRJNA1237248	SRR32733093	56921683	56895042			0	56895042	49094060	86.29	7800982	13.71	234325_206_PRJNA1237248_SRR32733093.err
228	PRJNA1237248	SRR32732974	20967830	20959634			0	20959634	19452553	92.81	1507081	7.19	234325_17_PRJNA1237248_SRR32732974.err
229	PRJEB72525		17204694	10325435	17204694	10325435	637932	20650870	17958097	86.96	2692773	13.04	232906_112_PRJEB72525_ERR14206352.err
230	PRJEB59350		17096312	15342765	17096312	15342765	24930	30685530	26638816	86.81	4046714	13.19	234322_26_PRJEB59350_ERR10829169.err
232	PRJNA1167935	SRR30861094	34829641	33502588	34829641	33502588	9218	67005176	59331902	88.55	7673274	11.45	234217_13_PRJNA1167935_SRR30861094.err
