	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
2624	PRJNA1237248	SRR32733685	52383036	52361718			0	52361718	45390316	86.69	6971402	13.31	234325_653_PRJNA1237248_SRR32733685.err
2625	PRJNA1237248	SRR32733286	37187990	37171844			0	37171844	33052497	88.92	4119347	11.08	234325_572_PRJNA1237248_SRR32733286.err
2626	PRJEB72524		16071995	15264546	16071995	15264546	706950	30529092	26735763	87.57	3793329	12.43	694103_54_PRJEB72524_ERR14205028.err
2627	PRJEB72524		17424700	16538863	17424700	16538863	771428	33077726	28908623	87.40	4169103	12.60	694103_91_PRJEB72524_ERR14204634.err
2628	PRJEB72525		4170014	2445248	4170014	2445248	170974	4890496	4342194	88.79	548302	11.21	232906_107_PRJEB72525_ERR14205383.err
2629	PRJNA763023	SRR16124257	34828878	34294480	34828878	34294480	2596882	68588960	63138403	92.05	5450557	7.95	693415_131_PRJNA763023_SRR16124257.err
2631	PRJNA429097	SRR6456135	20647604	19269788	20647604	19269788	8348	38539576	34282130	88.95	4257446	11.05	693416_51_PRJNA429097_SRR6456135.err
2632	PRJEB72525		10397203	6183822	10397203	6183822	354208	12367644	10391982	84.03	1975662	15.97	232906_10_PRJEB72525_ERR14205216.err
2633	PRJEB72525		8170328	4815569	8170328	4815569	316636	9631138	8575049	89.03	1056089	10.97	232906_15_PRJEB72525_ERR14207012.err
2634	PRJEB72526		18683758	17097598	18683758	17097598	66910	34195196	30231697	88.41	3963499	11.59	234324_10_PRJEB72526_ERR14218641.err
2635	PRJNA731589	SRR14610605	48246141	47739035	48246141	47739035	135022	95478070	87879422	92.04	7598648	7.96	693420_105_PRJNA731589_SRR14610605.err
2636	PRJNA1237248	SRR32732894	52544165	52522452			0	52522452	47018691	89.52	5503761	10.48	234325_122_PRJNA1237248_SRR32732894.err
2637	PRJNA1237248	SRR32733105	48408214	48384376			0	48384376	43444453	89.79	4939923	10.21	234325_691_PRJNA1237248_SRR32733105.err
2638	PRJNA1237248	SRR32733532	44895255	44878114			0	44878114	38634908	86.09	6243206	13.91	234325_20_PRJNA1237248_SRR32733532.err
2640	PRJEB72526		4005824	3743582	4005824	3743582	11100	7487164	6614954	88.35	872210	11.65	234324_17_PRJEB72526_ERR14218631.err
2641	PRJNA1237248	SRR32733523	34394668	34377303			0	34377303	30913239	89.92	3464064	10.08	234325_752_PRJNA1237248_SRR32733523.err
2643	PRJNA1237248	SRR32733195	55349822	55328082			0	55328082	48232565	87.18	7095517	12.82	234325_174_PRJNA1237248_SRR32733195.err
2645	PRJNA1237248	SRR32733143	69575505	69545151			0	69545151	59818995	86.01	9726156	13.99	234325_361_PRJNA1237248_SRR32733143.err
2646	PRJNA1237248	SRR32733696	38940254	38923188			0	38923188	35114984	90.22	3808204	9.78	234325_339_PRJNA1237248_SRR32733696.err
2647	PRJEB72523		10879378	10473308	10879378	10473308	6140	20946616	18833165	89.91	2113451	10.09	234221_40_PRJEB72523_ERR14130906.err
2648	PRJNA1237248	SRR32733030	51719087	51696340			0	51696340	46904929	90.73	4791411	9.27	234325_62_PRJNA1237248_SRR32733030.err
2650	PRJNA447983	SRR6915141	26623329	26164294	26623329	26164294	402200	52328588	45257164	86.49	7071424	13.51	693749_109_PRJNA447983_SRR6915141.err
2651	PRJNA1237248	SRR32732841	44094891	44077150			0	44077150	39610863	89.87	4466287	10.13	234325_328_PRJNA1237248_SRR32732841.err
2652	PRJNA1237248	SRR32733553	44705047	44688853			0	44688853	39422513	88.22	5266340	11.78	234325_100_PRJNA1237248_SRR32733553.err
2653	PRJEB72523		48145522	46031294	48145522	46031294	23002	92062588	83400710	90.59	8661878	9.41	234221_159_PRJEB72523_ERR14749810.err
2654	PRJNA763023	SRR16124357	32169726	31182379	32169726	31182379	2126098	62364758	55322625	88.71	7042133	11.29	693415_26_PRJNA763023_SRR16124357.err
2656	PRJEB59350		23324739	18095133	23324739	18095133	16602	36190266	29637191	81.89	6553075	18.11	234322_18_PRJEB59350_ERR10829064.err
2657	PRJNA1237248	SRR32733404	37357963	37342720			0	37342720	33642066	90.09	3700654	9.91	234325_809_PRJNA1237248_SRR32733404.err
2658	PRJNA429097	SRR6456243	21780786	20580398	21780786	20580398	120760	41160796	36049476	87.58	5111320	12.42	693416_122_PRJNA429097_SRR6456243.err
2659	PRJNA763023	SRR16124304	41107873	39788530	41107873	39788530	3055890	79577060	69245324	87.02	10331736	12.98	693415_128_PRJNA763023_SRR16124304.err
2660	PRJNA1237248	SRR32733475	53993874	53970804			0	53970804	47204311	87.46	6766493	12.54	234325_217_PRJNA1237248_SRR32733475.err
2661	PRJNA1237248	SRR32733469	11659388	11655148			0	11655148	10033939	86.09	1621209	13.91	234325_231_PRJNA1237248_SRR32733469.err
2662	PRJNA763023	SRR16124292	35953902	35027086	35953902	35027086	2056862	70054172	62211232	88.80	7842940	11.20	693415_76_PRJNA763023_SRR16124292.err
2663	PRJNA731589	SRR14610569	37360547	36885819	37360547	36885819	458962	73771638	68280262	92.56	5491376	7.44	693420_125_PRJNA731589_SRR14610569.err
2664	PRJNA1237248	SRR32733129	45156209	45137611			0	45137611	41225227	91.33	3912384	8.67	234325_83_PRJNA1237248_SRR32733129.err
2665	PRJEB59350		19015915	15443462	19015915	15443462	86572	30886924	27900980	90.33	2985944	9.67	234322_131_PRJEB59350_ERR10818549.err
2666	PRJEB59350		35474054	29847812	35474054	29847812	15118	59695624	54303849	90.97	5391775	9.03	234322_19_PRJEB59350_ERR10820977.err
2667	PRJNA447983	SRR6915098	47400333	46482107	47400333	46482107	433752	92964214	87204003	93.80	5760211	6.20	693749_32_PRJNA447983_SRR6915098.err
